bed	seed	seat0	seat1	x0	x1	share0
short-range	7	Scarp	Cairn	13.1945	0.0000	1.000
short-range	7	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	7	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	42	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	42	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	42	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	42	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	42	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	42	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	42	Tor	Cairn	0.0000	13.1600	0.000
short-range	42	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	42	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	42	Tor	Scarp	0.0000	13.1945	0.000
short-range	42	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	42	Cairn	Tor	13.1600	0.0000	1.000
short-range	42	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	42	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	42	Cairn	Scarp	0.0000	13.1945	0.000
short-range	42	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	42	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	42	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	42	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	42	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	42	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	42	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	42	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	42	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	42	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	42	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	42	Scarp	Tor	13.1945	0.0000	1.000
short-range	42	Scarp	Cairn	13.1945	0.0000	1.000
short-range	42	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	42	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	31337	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	31337	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	31337	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	31337	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	31337	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	31337	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	31337	Tor	Cairn	0.0000	13.1400	0.000
short-range	31337	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	31337	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	31337	Tor	Scarp	0.0000	13.1945	0.000
short-range	31337	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	31337	Cairn	Tor	13.1600	0.0000	1.000
short-range	31337	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	31337	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	31337	Cairn	Scarp	0.0000	13.1945	0.000
short-range	31337	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	31337	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	31337	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	31337	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	31337	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	31337	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	31337	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	31337	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	31337	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	31337	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	31337	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	31337	Scarp	Tor	13.1945	0.0000	1.000
short-range	31337	Scarp	Cairn	13.1945	0.0000	1.000
short-range	31337	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	31337	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	2	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	2	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	2	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	2	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	2	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	2	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	2	Tor	Cairn	0.0000	13.1600	0.000
short-range	2	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	2	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	2	Tor	Scarp	0.0000	13.1945	0.000
short-range	2	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	2	Cairn	Tor	13.1600	0.0000	1.000
short-range	2	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	2	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	2	Cairn	Scarp	0.0000	13.1945	0.000
short-range	2	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	2	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	2	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	2	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	2	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	2	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	2	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	2	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	2	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	2	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	2	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	2	Scarp	Tor	13.1945	0.0000	1.000
short-range	2	Scarp	Cairn	13.1945	0.0000	1.000
short-range	2	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	2	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	3	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	3	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	3	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	3	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	3	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	3	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	3	Tor	Cairn	0.0000	13.1400	0.000
short-range	3	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	3	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	3	Tor	Scarp	0.0000	13.1945	0.000
short-range	3	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	3	Cairn	Tor	13.1600	0.0000	1.000
short-range	3	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	3	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	3	Cairn	Scarp	0.0000	13.1945	0.000
short-range	3	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	3	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	3	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	3	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	3	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	3	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	3	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	3	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	3	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	3	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	3	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	3	Scarp	Tor	13.1945	0.0000	1.000
short-range	3	Scarp	Cairn	13.1945	0.0000	1.000
short-range	3	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	3	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	5	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	5	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	5	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	5	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	5	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	5	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	5	Tor	Cairn	0.0000	13.1600	0.000
short-range	5	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	5	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	5	Tor	Scarp	0.0000	13.1945	0.000
short-range	5	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	5	Cairn	Tor	13.1600	0.0000	1.000
short-range	5	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	5	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	5	Cairn	Scarp	0.0000	13.1945	0.000
short-range	5	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	5	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	5	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	5	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	5	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	5	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	5	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	5	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	5	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	5	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	5	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	5	Scarp	Tor	13.1945	0.0000	1.000
short-range	5	Scarp	Cairn	13.1945	0.0000	1.000
short-range	5	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	5	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	11	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	11	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	11	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	11	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	11	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	11	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	11	Tor	Cairn	0.0000	13.1600	0.000
short-range	11	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	11	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	11	Tor	Scarp	0.0000	13.1945	0.000
short-range	11	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	11	Cairn	Tor	13.1600	0.0000	1.000
short-range	11	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	11	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	11	Cairn	Scarp	0.0000	13.1945	0.000
short-range	11	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	11	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	11	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	11	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	11	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	11	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	11	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	11	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	11	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	11	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	11	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	11	Scarp	Tor	13.1945	0.0000	1.000
short-range	11	Scarp	Cairn	13.1945	0.0000	1.000
short-range	11	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	11	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	1	Meadow=Spur	Tor	12.0627	13.1600	0.478
long-range	1	Meadow=Spur	Cairn	12.0627	13.1600	0.478
long-range	1	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	1	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	1	Meadow=Spur	Scarp	0.0000	13.1945	0.000
long-range	1	Tor	Meadow=Spur	13.1600	12.0426	0.522
long-range	1	Tor	Cairn	11.3000	12.3800	0.477
long-range	1	Tor	Delta=Ford	13.1600	9.8289	0.572
long-range	1	Tor	Range=Strait	13.1600	9.2081	0.588
long-range	1	Tor	Scarp	0.0000	13.1945	0.000
long-range	1	Cairn	Meadow=Spur	13.1600	12.0426	0.522
long-range	1	Cairn	Tor	12.3800	11.3400	0.522
long-range	1	Cairn	Delta=Ford	13.1600	9.8289	0.572
long-range	1	Cairn	Range=Strait	13.1600	9.2081	0.588
long-range	1	Cairn	Scarp	7.3200	13.1945	0.357
long-range	1	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
long-range	1	Delta=Ford	Tor	10.2657	13.1600	0.438
long-range	1	Delta=Ford	Cairn	10.2657	13.1600	0.438
long-range	1	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
long-range	1	Delta=Ford	Scarp	1.4197	13.1945	0.097
long-range	1	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
long-range	1	Range=Strait	Tor	9.2081	13.1600	0.412
long-range	1	Range=Strait	Cairn	9.2081	13.1600	0.412
long-range	1	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
long-range	1	Range=Strait	Scarp	0.0000	13.1945	0.000
long-range	1	Scarp	Meadow=Spur	13.1945	0.0000	1.000
long-range	1	Scarp	Tor	13.1945	0.0000	1.000
long-range	1	Scarp	Cairn	13.1945	7.5400	0.636
long-range	1	Scarp	Delta=Ford	13.1945	2.6210	0.834
long-range	1	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	7	Meadow=Spur	Tor	12.1230	13.1600	0.479
long-range	7	Meadow=Spur	Cairn	12.1230	13.1600	0.479
long-range	7	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	7	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	7	Meadow=Spur	Scarp	0.0000	13.1945	0.000
long-range	7	Tor	Meadow=Spur	13.1600	12.0023	0.523
long-range	7	Tor	Cairn	11.3600	12.4600	0.477
long-range	7	Tor	Delta=Ford	13.1600	9.9381	0.570
long-range	7	Tor	Range=Strait	13.1600	9.2081	0.588
long-range	7	Tor	Scarp	0.0000	13.1945	0.000
long-range	7	Cairn	Meadow=Spur	13.1600	12.0023	0.523
long-range	7	Cairn	Tor	12.3800	11.2000	0.525
long-range	7	Cairn	Delta=Ford	13.1600	9.9381	0.570
long-range	7	Cairn	Range=Strait	13.1600	9.2081	0.588
long-range	7	Cairn	Scarp	7.2400	13.1945	0.354
long-range	7	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
long-range	7	Delta=Ford	Tor	9.0644	13.1600	0.408
long-range	7	Delta=Ford	Cairn	9.0644	13.1600	0.408
long-range	7	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
long-range	7	Delta=Ford	Scarp	1.0921	13.1945	0.076
long-range	7	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
long-range	7	Range=Strait	Tor	10.5235	13.1600	0.444
long-range	7	Range=Strait	Cairn	10.5235	13.1600	0.444
long-range	7	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
long-range	7	Range=Strait	Scarp	0.0000	13.1945	0.000
long-range	7	Scarp	Meadow=Spur	13.1945	0.0000	1.000
long-range	7	Scarp	Tor	13.1945	0.0000	1.000
long-range	7	Scarp	Cairn	13.1945	7.4400	0.639
long-range	7	Scarp	Delta=Ford	13.1945	1.6381	0.890
long-range	7	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	42	Meadow=Spur	Tor	12.1029	13.1600	0.479
long-range	42	Meadow=Spur	Cairn	12.1029	13.1600	0.479
long-range	42	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	42	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	42	Meadow=Spur	Scarp	0.0000	13.1945	0.000
long-range	42	Tor	Meadow=Spur	13.1600	11.9420	0.524
long-range	42	Tor	Cairn	11.3800	12.3200	0.480
long-range	42	Tor	Delta=Ford	13.1600	8.7368	0.601
long-range	42	Tor	Range=Strait	13.1600	10.5235	0.556
long-range	42	Tor	Scarp	0.0000	13.1945	0.000
long-range	42	Cairn	Meadow=Spur	13.1600	11.9420	0.524
long-range	42	Cairn	Tor	12.4800	11.2600	0.526
long-range	42	Cairn	Delta=Ford	13.1600	8.7368	0.601
long-range	42	Cairn	Range=Strait	13.1600	10.5235	0.556
long-range	42	Cairn	Scarp	7.6000	13.1945	0.365
long-range	42	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
long-range	42	Delta=Ford	Tor	9.7197	13.1600	0.425
long-range	42	Delta=Ford	Cairn	9.7197	13.1600	0.425
long-range	42	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
long-range	42	Delta=Ford	Scarp	1.7474	13.1945	0.117
long-range	42	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
long-range	42	Range=Strait	Tor	10.5235	13.1600	0.444
long-range	42	Range=Strait	Cairn	10.5235	13.1600	0.444
long-range	42	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
long-range	42	Range=Strait	Scarp	0.0000	13.1945	0.000
long-range	42	Scarp	Meadow=Spur	13.1945	0.0000	1.000
long-range	42	Scarp	Tor	13.1945	0.0000	1.000
long-range	42	Scarp	Cairn	13.1945	8.1400	0.618
long-range	42	Scarp	Delta=Ford	13.1945	1.7474	0.883
long-range	42	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	31337	Meadow=Spur	Tor	12.2838	13.1600	0.483
long-range	31337	Meadow=Spur	Cairn	12.2838	13.1600	0.483
long-range	31337	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	31337	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	31337	Meadow=Spur	Scarp	0.0000	13.1945	0.000
long-range	31337	Tor	Meadow=Spur	13.1600	12.0627	0.522
long-range	31337	Tor	Cairn	11.6000	12.5200	0.481
long-range	31337	Tor	Delta=Ford	13.1600	9.7197	0.575
long-range	31337	Tor	Range=Strait	13.1600	9.2081	0.588
long-range	31337	Tor	Scarp	0.0000	13.1945	0.000
long-range	31337	Cairn	Meadow=Spur	13.1600	12.0627	0.522
long-range	31337	Cairn	Tor	12.5400	11.3600	0.525
long-range	31337	Cairn	Delta=Ford	13.1600	9.7197	0.575
long-range	31337	Cairn	Range=Strait	13.1600	9.2081	0.588
long-range	31337	Cairn	Scarp	7.8800	13.1945	0.374
long-range	31337	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
long-range	31337	Delta=Ford	Tor	9.7197	13.1600	0.425
long-range	31337	Delta=Ford	Cairn	9.7197	13.1600	0.425
long-range	31337	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
long-range	31337	Delta=Ford	Scarp	1.7474	13.1945	0.117
long-range	31337	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
long-range	31337	Range=Strait	Tor	9.2081	13.1600	0.412
long-range	31337	Range=Strait	Cairn	9.2081	13.1600	0.412
long-range	31337	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
long-range	31337	Range=Strait	Scarp	0.0000	13.1945	0.000
long-range	31337	Scarp	Meadow=Spur	13.1945	0.0000	1.000
long-range	31337	Scarp	Tor	13.1945	0.0000	1.000
long-range	31337	Scarp	Cairn	13.1945	6.5800	0.667
long-range	31337	Scarp	Delta=Ford	13.1945	1.0921	0.924
long-range	31337	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	2	Meadow=Spur	Tor	12.0627	13.1600	0.478
long-range	2	Meadow=Spur	Cairn	12.0627	13.1600	0.478
long-range	2	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	2	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	2	Meadow=Spur	Scarp	0.0201	13.1945	0.002
long-range	2	Tor	Meadow=Spur	13.1600	11.9018	0.525
long-range	2	Tor	Cairn	11.0800	12.2800	0.474
long-range	2	Tor	Delta=Ford	13.1600	10.2657	0.562
long-range	2	Tor	Range=Strait	13.1600	9.2081	0.588
long-range	2	Tor	Scarp	0.0000	13.1945	0.000
long-range	2	Cairn	Meadow=Spur	13.1600	11.9018	0.525
long-range	2	Cairn	Tor	12.4000	11.0800	0.528
long-range	2	Cairn	Delta=Ford	13.1600	10.2657	0.562
long-range	2	Cairn	Range=Strait	13.1600	9.2081	0.588
long-range	2	Cairn	Scarp	7.1800	13.1945	0.352
long-range	2	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
long-range	2	Delta=Ford	Tor	10.5934	13.1600	0.446
long-range	2	Delta=Ford	Cairn	10.5934	13.1600	0.446
long-range	2	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
long-range	2	Delta=Ford	Scarp	2.1842	13.1945	0.142
long-range	2	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
long-range	2	Range=Strait	Tor	10.5235	13.1600	0.444
long-range	2	Range=Strait	Cairn	10.5235	13.1600	0.444
long-range	2	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
long-range	2	Range=Strait	Scarp	0.0000	13.1945	0.000
long-range	2	Scarp	Meadow=Spur	13.1945	0.0000	1.000
long-range	2	Scarp	Tor	13.1945	0.0000	1.000
long-range	2	Scarp	Cairn	13.1945	6.8000	0.660
long-range	2	Scarp	Delta=Ford	13.1945	3.0579	0.812
long-range	2	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	3	Meadow=Spur	Tor	12.0426	13.1600	0.478
long-range	3	Meadow=Spur	Cairn	12.0426	13.1600	0.478
long-range	3	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	3	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	3	Meadow=Spur	Scarp	0.0000	13.1945	0.000
long-range	3	Tor	Meadow=Spur	13.1600	12.1833	0.519
long-range	3	Tor	Cairn	11.2200	12.4800	0.473
long-range	3	Tor	Delta=Ford	13.1600	9.9381	0.570
long-range	3	Tor	Range=Strait	13.1600	9.2081	0.588
long-range	3	Tor	Scarp	0.0000	13.1945	0.000
long-range	3	Cairn	Meadow=Spur	13.1600	12.1833	0.519
long-range	3	Cairn	Tor	12.5000	11.5000	0.521
long-range	3	Cairn	Delta=Ford	13.1600	9.9381	0.570
long-range	3	Cairn	Range=Strait	13.1600	9.2081	0.588
long-range	3	Cairn	Scarp	7.7600	13.1945	0.370
long-range	3	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
long-range	3	Delta=Ford	Tor	9.6105	13.1600	0.422
long-range	3	Delta=Ford	Cairn	9.6105	13.1600	0.422
long-range	3	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
long-range	3	Delta=Ford	Scarp	0.6553	13.1945	0.047
long-range	3	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
long-range	3	Range=Strait	Tor	9.2081	13.1600	0.412
long-range	3	Range=Strait	Cairn	9.2081	13.1600	0.412
long-range	3	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
long-range	3	Range=Strait	Scarp	0.0000	13.1945	0.000
long-range	3	Scarp	Meadow=Spur	13.1945	0.0000	1.000
long-range	3	Scarp	Tor	13.1945	0.0000	1.000
long-range	3	Scarp	Cairn	13.1945	7.1200	0.650
long-range	3	Scarp	Delta=Ford	13.1945	1.6381	0.890
long-range	3	Scarp	Range=Strait	13.1945	0.0000	1.000
long-range	5	Meadow=Spur	Tor	11.9621	13.1600	0.476
long-range	5	Meadow=Spur	Cairn	11.9621	13.1600	0.476
long-range	5	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
long-range	5	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
long-range	5	Meadow=Spur	Scarp	0.0000	13.1945	0.000
